Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1922,-0.33,-0.42,-0.11,-0.2,-0.33,-0.31,-0.25,-0.29,-0.27,-0.32,-0.15,-0.16
1923,-0.25,-0.35,-0.31,-0.36,-0.32,-0.22,-0.27,-0.28,-0.26,-0.11,0.05,-0.04
1924,-0.23,-0.26,-0.11,-0.34,-0.18,-0.26,-0.25,-0.34,-0.29,-0.35,-0.21,-0.41
1925,-0.32,-0.33,-0.21,-0.24,-0.28,-0.32,-0.28,-0.17,-0.12,-0.16,0.05,0.11
1926,0.21,0.09,0.13,-0.13,-0.23,-0.24,-0.2,-0.1,-0.1,-0.11,-0.05,-0.3
1927,-0.28,-0.2,-0.37,-0.29,-0.24,-0.26,-0.13,-0.18,-0.05,-0.01,-0.03,-0.35
1928,-0.02,-0.11,-0.27,-0.27,-0.29,-0.4,-0.2,-0.24,-0.19,-0.18,-0.09,-0.2
1929,-0.47,-0.59,-0.32,-0.4,-0.38,-0.43,-0.32,-0.28,-0.23,-0.14,-0.14,-0.54
1930,-0.29,-0.24,-0.08,-0.25,-0.24,-0.18,-0.16,-0.1,-0.1,-0.08,0.14,-0.08
1931,-0.1,-0.21,-0.05,-0.21,-0.21,-0.05,0.01,-0.01,-0.06,0,-0.12,-0.1
1932,0.14,-0.17,-0.19,-0.07,-0.21,-0.29,-0.23,-0.23,-0.11,-0.09,-0.26,-0.22
1933,-0.34,-0.32,-0.28,-0.23,-0.25,-0.32,-0.19,-0.22,-0.26,-0.23,-0.31,-0.47
1934,-0.26,-0.04,-0.3,-0.26,-0.1,-0.13,-0.1,-0.09,-0.14,-0.1,0,-0.08
1935,-0.36,0.13,-0.12,-0.34,-0.25,-0.21,-0.18,-0.16,-0.16,-0.08,-0.28,-0.21
1936,-0.28,-0.38,-0.22,-0.2,-0.16,-0.18,-0.05,-0.11,-0.05,-0.03,-0.04,-0.03
1937,-0.1,0.07,-0.16,-0.17,-0.06,-0.07,-0.04,0.04,0.15,0.1,0.1,-0.11
1938,0,-0.03,0.06,0.05,-0.07,-0.17,-0.08,-0.04,0.04,0.11,0.02,-0.25
1939,-0.12,-0.11,-0.19,-0.11,-0.06,-0.07,-0.05,-0.04,0.01,-0.03,0.06,0.4
1940,-0.15,0.06,0.12,0.16,0.06,0.05,0.11,0.01,0.12,0.08,0.13,0.19
1941,0.13,0.23,0.06,0.11,0.1,0.05,0.15,0.14,0.02,0.25,0.12,0.14
1942,0.26,0.05,0.13,0.14,0.14,0.11,0.02,-0.03,0,0.07,0.13,0.12
1943,0,0.22,0.02,0.13,0.1,0,0.14,0.03,0.11,0.3,0.25,0.29
1944,0.41,0.31,0.34,0.27,0.27,0.23,0.23,0.23,0.32,0.27,0.12,0.05
1945,0.13,0.02,0.11,0.24,0.1,0.03,0.07,0.25,0.22,0.22,0.1,-0.09
1946,0.15,0.06,0,0.11,-0.03,-0.16,-0.09,-0.08,-0.02,-0.06,-0.02,-0.29
